指定应用的CPU内存监控情况
应用包名：,im.yixin
应用名称: ,易信
应用PID: ,28406
机器内存大小(MB)：,842.45MB
机器CPU型号：, ARMv7 Processor rev 1 (v7l)
机器android系统版本：,4.1.2
手机型号：,Coolpad 5951
UID：,10068
时间,应用占用内存PSS(MB),应用占用内存比(%), 机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V)
2014-04-02 15:01:49,92.16,10.94,177.30,0.01,4.34,0,95%,N/A,31.0,4.28
2014-04-02 15:01:54,92.79,11.01,176.25,5.10,20.79,3,95%,N/A,31.0,4.28
2014-04-02 15:01:59,99.38,11.80,168.63,22.19,51.57,7,95%,N/A,31.0,4.28
2014-04-02 15:02:05,97.16,11.53,170.71,0.24,4.44,7,95%,N/A,31.0,4.28
2014-04-02 15:02:10,97.16,11.53,170.92,0.00,12.35,7,95%,N/A,31.0,4.28
2014-04-02 15:02:15,97.16,11.53,172.04,0.00,4.22,7,95%,N/A,31.0,4.28
2014-04-02 15:02:20,97.16,11.53,172.29,0.00,5.05,7,95%,N/A,31.0,4.28
2014-04-02 15:02:26,97.16,11.53,171.91,0.00,9.41,7,95%,N/A,31.0,4.28
2014-04-02 15:02:31,97.13,11.53,172.29,0.05,4.89,7,95%,N/A,31.0,4.28
2014-04-02 15:02:36,97.13,11.53,172.12,0.00,4.84,7,95%,N/A,31.0,4.28
2014-04-02 15:02:41,97.13,11.53,172.17,0.00,13.87,7,95%,N/A,31.0,4.28
2014-04-02 15:02:47,97.34,11.55,173.07,6.45,18.55,7,95%,N/A,31.0,4.28
2014-04-02 15:02:52,96.90,11.50,173.44,0.26,5.78,7,95%,N/A,31.0,4.28
2014-04-02 15:02:57,97.18,11.53,172.94,2.69,18.99,9,95%,N/A,31.0,4.28
2014-04-02 15:03:03,97.00,11.51,170.87,22.99,63.16,15,95%,N/A,31.0,4.28
2014-04-02 15:03:08,97.68,11.59,170.56,20.25,56.79,22,95%,N/A,31.0,4.28
2014-04-02 15:03:13,97.64,11.59,169.94,7.52,34.02,29,95%,N/A,31.0,4.28
2014-04-02 15:03:19,97.65,11.59,169.67,9.18,36.02,35,95%,N/A,31.0,4.28
2014-04-02 15:03:24,97.61,11.59,168.79,7.94,36.02,42,95%,N/A,31.0,4.28
2014-04-02 15:03:29,98.25,11.66,167.93,8.62,39.88,49,95%,N/A,31.0,4.28
2014-04-02 15:03:35,97.58,11.58,168.35,9.58,47.64,56,95%,N/A,31.0,4.28
2014-04-02 15:03:40,97.71,11.60,166.61,7.85,42.62,63,95%,N/A,31.0,4.28
2014-04-02 15:03:46,97.71,11.60,167.57,8.37,39.12,69,95%,N/A,31.0,4.28
2014-04-02 15:03:51,105.51,12.52,160.59,14.26,42.68,76,95%,N/A,32.0,4.28
2014-04-02 15:03:56,102.22,12.13,164.01,1.29,9.91,76,95%,N/A,32.0,4.28
2014-04-02 15:04:01,102.36,12.15,162.32,0.06,8.48,76,95%,N/A,32.0,4.28
2014-04-02 15:04:07,108.15,12.84,156.11,28.94,44.60,76,95%,N/A,32.0,4.28
2014-04-02 15:04:12,109.83,13.04,155.06,28.42,42.48,76,95%,N/A,32.0,4.28
2014-04-02 15:04:17,110.59,13.13,154.69,14.30,20.63,76,95%,N/A,32.0,4.28
2014-04-02 15:04:23,110.59,13.13,154.21,0.00,6.99,76,95%,N/A,32.0,4.28
2014-04-02 15:04:28,112.01,13.30,153.05,14.41,28.55,76,95%,N/A,32.0,4.28
2014-04-02 15:04:33,112.14,13.31,154.34,13.73,23.08,76,95%,N/A,32.0,4.28
2014-04-02 15:04:39,111.25,13.20,155.23,0.36,4.14,76,95%,N/A,32.0,4.28
2014-04-02 15:04:44,111.24,13.20,155.23,0.00,5.54,76,95%,N/A,32.0,4.28
2014-04-02 15:04:49,111.24,13.20,154.98,0.00,6.17,76,95%,N/A,32.0,4.28
2014-04-02 15:04:54,111.24,13.20,155.23,0.00,8.29,76,95%,N/A,32.0,4.28
2014-04-02 15:05:00,111.22,13.20,155.10,0.00,5.11,76,95%,N/A,32.0,4.28
2014-04-02 15:05:05,111.21,13.20,155.21,0.00,3.94,76,95%,N/A,32.0,4.28
2014-04-02 15:05:10,111.21,13.20,154.95,0.00,4.67,76,95%,N/A,32.0,4.28
2014-04-02 15:05:16,111.21,13.20,154.96,0.00,6.73,76,95%,N/A,32.0,4.28
2014-04-02 15:05:21,111.21,13.20,155.02,0.00,9.51,76,95%,N/A,31.0,4.28
2014-04-02 15:05:26,111.21,13.20,154.63,0.07,6.36,76,95%,N/A,31.0,4.28
2014-04-02 15:05:31,111.21,13.20,155.03,0.00,3.79,76,95%,N/A,31.0,4.28
2014-04-02 15:05:37,111.21,13.20,155.05,0.00,7.55,76,95%,N/A,31.0,4.28
2014-04-02 15:05:42,111.21,13.20,154.79,0.00,3.94,76,95%,N/A,31.0,4.28
2014-04-02 15:05:47,111.21,13.20,155.00,0.00,5.68,76,95%,N/A,31.0,4.28
2014-04-02 15:05:52,111.21,13.20,155.01,0.00,6.20,76,95%,N/A,31.0,4.28
2014-04-02 15:05:58,111.21,13.20,155.01,0.00,8.14,76,95%,N/A,31.0,4.28
2014-04-02 15:06:03,111.21,13.20,155.01,0.00,4.51,76,95%,N/A,31.0,4.28
2014-04-02 15:06:08,111.21,13.20,155.04,0.00,4.93,76,95%,N/A,31.0,4.28
2014-04-02 15:06:14,111.21,13.20,154.95,0.00,16.34,76,95%,N/A,31.0,4.28
2014-04-02 15:06:19,111.21,13.20,155.20,0.00,5.23,76,95%,N/A,31.0,4.28
2014-04-02 15:06:24,111.21,13.20,154.78,0.00,4.21,76,95%,N/A,31.0,4.28
2014-04-02 15:06:29,111.21,13.20,155.19,0.00,5.32,76,95%,N/A,31.0,4.28
2014-04-02 15:06:35,111.21,13.20,154.76,0.00,4.62,76,95%,N/A,31.0,4.28
2014-04-02 15:06:40,111.21,13.20,154.99,0.00,5.74,76,95%,N/A,31.0,4.28
2014-04-02 15:06:45,111.21,13.20,154.77,0.00,7.19,76,95%,N/A,31.0,4.28
2014-04-02 15:06:51,111.21,13.20,154.77,0.00,4.14,76,95%,N/A,31.0,4.28
2014-04-02 15:06:56,111.21,13.20,154.89,0.00,4.65,76,95%,N/A,31.0,4.28
2014-04-02 15:07:01,111.21,13.20,154.98,0.00,6.08,76,95%,N/A,31.0,4.28
2014-04-02 15:07:06,111.21,13.20,154.97,0.00,12.25,76,95%,N/A,31.0,4.28
2014-04-02 15:07:12,111.21,13.20,154.98,0.00,4.51,76,95%,N/A,31.0,4.28
2014-04-02 15:07:17,111.21,13.20,154.67,0.00,6.54,76,95%,N/A,31.0,4.28
2014-04-02 15:07:22,111.21,13.20,154.98,0.00,3.94,76,95%,N/A,31.0,4.28
2014-04-02 15:07:28,111.21,13.20,154.86,0.09,8.59,76,95%,N/A,31.0,4.28
2014-04-02 15:07:33,111.21,13.20,154.39,0.00,5.06,76,95%,N/A,31.0,4.28
2014-04-02 15:07:38,111.21,13.20,154.86,0.00,3.60,76,95%,N/A,31.0,4.28
2014-04-02 15:07:44,111.21,13.20,154.88,0.00,5.52,76,95%,N/A,31.0,4.28
2014-04-02 15:07:49,111.21,13.20,154.86,0.00,6.41,76,95%,N/A,31.0,4.28
2014-04-02 15:07:54,111.21,13.20,154.88,0.00,4.80,76,95%,N/A,31.0,4.28
2014-04-02 15:07:59,111.21,13.20,154.61,0.00,4.58,76,95%,N/A,31.0,4.28
2014-04-02 15:08:05,111.21,13.20,154.64,0.00,10.40,76,95%,N/A,31.0,4.28
2014-04-02 15:08:10,111.21,13.20,154.88,0.00,5.58,76,95%,N/A,31.0,4.28
2014-04-02 15:08:15,111.21,13.20,154.86,0.00,6.89,76,95%,N/A,31.0,4.28
2014-04-02 15:08:21,111.21,13.20,154.78,0.00,3.80,76,95%,N/A,31.0,4.28
2014-04-02 15:08:26,111.21,13.20,154.61,0.00,5.06,76,95%,N/A,31.0,4.28
2014-04-02 15:08:31,111.21,13.20,154.83,0.00,4.99,76,95%,N/A,31.0,4.28
2014-04-02 15:08:36,111.21,13.20,154.80,0.00,7.69,76,95%,N/A,31.0,4.28
2014-04-02 15:08:42,111.21,13.20,154.68,0.00,3.94,76,95%,N/A,31.0,4.28
2014-04-02 15:08:47,111.21,13.20,154.80,0.00,5.64,76,95%,N/A,31.0,4.28
2014-04-02 15:08:52,111.21,13.20,154.64,0.00,5.59,76,95%,N/A,31.0,4.28
2014-04-02 15:08:57,111.21,13.20,154.72,0.00,11.45,76,95%,N/A,31.0,4.28
2014-04-02 15:09:03,111.21,13.20,154.72,0.00,6.34,76,95%,N/A,31.0,4.28
2014-04-02 15:09:08,111.21,13.20,154.60,0.00,6.02,76,95%,N/A,31.0,4.28
2014-04-02 15:09:13,111.21,13.20,154.53,0.00,3.26,76,95%,N/A,31.0,4.28
2014-04-02 15:09:19,111.21,13.20,154.71,0.00,5.52,76,95%,N/A,31.0,4.28
2014-04-02 15:09:24,111.21,13.20,154.71,0.00,5.07,76,95%,N/A,31.0,4.28
2014-04-02 15:09:29,111.21,13.20,154.41,0.00,8.53,76,95%,N/A,31.0,4.28
2014-04-02 15:09:34,111.21,13.20,154.04,0.00,4.82,76,95%,N/A,31.0,4.28
2014-04-02 15:09:40,111.21,13.20,154.36,0.00,6.22,77,95%,N/A,31.0,4.28
2014-04-02 15:09:45,111.21,13.20,154.39,0.00,5.29,77,95%,N/A,31.0,4.28
2014-04-02 15:09:50,111.21,13.20,154.62,0.00,8.09,77,95%,N/A,31.0,4.28
2014-04-02 15:09:56,111.21,13.20,154.47,0.00,6.96,77,95%,N/A,31.0,4.28
2014-04-02 15:10:01,111.21,13.20,154.74,0.00,7.00,77,95%,N/A,31.0,4.28
2014-04-02 15:10:06,111.21,13.20,154.62,0.00,4.37,77,95%,N/A,31.0,4.28
2014-04-02 15:10:11,111.21,13.20,154.62,0.00,7.02,77,95%,N/A,31.0,4.28
2014-04-02 15:10:17,111.21,13.20,154.38,0.00,5.44,77,95%,N/A,31.0,4.28
2014-04-02 15:10:22,111.21,13.20,154.62,0.00,3.78,77,95%,N/A,31.0,4.28
2014-04-02 15:10:27,111.21,13.20,154.50,0.06,5.49,77,95%,N/A,31.0,4.28
2014-04-02 15:10:33,111.21,13.20,154.62,0.00,3.80,77,95%,N/A,31.0,4.28
2014-04-02 15:10:38,111.21,13.20,154.45,0.00,7.72,77,95%,N/A,31.0,4.28
2014-04-02 15:10:43,111.21,13.20,154.14,0.00,9.60,77,95%,N/A,31.0,4.28
2014-04-02 15:10:48,111.21,13.20,154.38,0.00,5.92,77,95%,N/A,31.0,4.28
2014-04-02 15:10:54,111.21,13.20,154.61,0.00,4.77,77,95%,N/A,31.0,4.28
2014-04-02 15:10:59,111.21,13.20,154.61,0.00,3.88,77,95%,N/A,31.0,4.28
2014-04-02 15:11:04,111.21,13.20,154.47,0.00,8.12,77,95%,N/A,31.0,4.28
2014-04-02 15:11:10,111.21,13.20,154.37,0.00,3.90,77,95%,N/A,31.0,4.28
2014-04-02 15:11:15,111.21,13.20,154.48,0.00,7.45,77,95%,N/A,31.0,4.28
2014-04-02 15:11:20,111.21,13.20,154.48,0.00,5.67,77,95%,N/A,31.0,4.28
2014-04-02 15:11:25,111.21,13.20,154.48,0.00,4.03,77,95%,N/A,31.0,4.28
2014-04-02 15:11:31,111.21,13.20,153.96,0.00,7.19,77,95%,N/A,31.0,4.28
2014-04-02 15:11:36,113.06,13.42,150.37,12.32,26.92,77,95%,N/A,31.0,4.28
注释:已知部分不支持的机型可在此查阅:https://github.com/NetEase/Emmagee/wiki/Some-devices-are-not-supported 
电流:小于0是放电大于0是充电
启动时间:为空是应用已启动或者未搜集到启动时间
N/A表示不支持或者数据异常
